,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,word_meaning,verify
43,15705,order,89,"Oh, yeah, no, this thing's majorly out of order.",BB206,345053,348301,oh yeah no this thing's majorly out of order,./bigbang,F,5,order,13,3,4,"What a nice girl.
Do you have any idea what just happened?
Yes. Apparently I'm getting a free dinner.","See? Sorry. - That's okay.
Guess I'm taking the stairs.
Where you going? - 4A.
You here to see Leonard? - No, Dr. Cooper.","착한데?
무슨 일이 일어난 건지 모르겠어?
알지, 공짜 저녁 생겼잖아","이게 떨어졌네요 - 괜찮아요
계단으로 가야겠네요
어디 가세요? - 4A에요
레너드 만나러 왔나봐요? - 아뇨, 쿠퍼 박사님 만나러요",v. 주문하다 n. 주문,F
44,16241,order,175,all the subatomic particles are there. I just have to put them in the right order.,BB206,658706,662290,all subatomic particles are there i just have to put them in right order,./bigbang,F,5,order,14,3,2,"Wait for me.
Have you worked out the neutrino issue?
Well, to paraphrase Mozart,","You're so witty.
Aren't I?","같이 가
뉴트리노 문제는 해결하셨어요?
모차르트 말을 인용하자면","정말 재밌으세요
그렇지?",v. 주문하다 n. 주문,F
45,16923,order,285,You know you need your sleep in order for your cognitive processing,BB206,1074136,1076648,you know you need your sleep in order for your cognitive processing,./bigbang,F,5,order,15,6,3,"I'm invoking our Body Snatchers clause.
The Body Snatchers clause requires me to help you destroy
someone we know who's been replaced with an alien pod.
She's in the living room. Go. I'll wait here.
Sheldon, what are you doing out of bed?
Now! Do it!","Godzilla clause?
Not unless she destroys Tokyo.
Rats.","그러면 신체 강탈자 조항을 발동시키겠어
신체 강탈자 조항은 우리가 아는 사람이
외계 생물체의 숙주가 되었을 때 그걸 없앨 때만 적용되는 조항이야
거실에 있잖아 어서 가, 난 여기 있을게
쉘든, 침대에 안 있고 뭐하는 거죠?
지금이야, 어서!","고질라 조항은?
도쿄를 부수면 도와주지
젠장",v. 주문하다 n. 주문,F
46,20100,order,148,"Pursuant to Starfleet General Order 104, Section A: You are deemed unfit",BB209,564907,568539,pursuant to starfleet general order section you are deemed unfit,./bigbang,F,5,order,16,5,2,"You are not in this relationship.

Ergo, you have no say

I'm afraid I can't allow that.","and I hereby relieve you of your command.
General Order 104, Section A does not apply in this situation.","네가 스테파니랑 사귀는 게 아니잖아
내가 사귄다고
그러니까 나랑 스테파니의 일을
넌 말할 자격이 없어
그렇게는 못하겠어","넌 부적합하다고 판단되기 때문에 명령할 권리를 없애겠어
기본 수칙 104의 A조항은 이 상황에 적용 안 돼",v. 주문하다 n. 주문,F
47,20115,order,150,"General Order 104, Section A does not apply in this situation.",BB209,574026,577251,general order section does not apply in this situation,./bigbang,F,5,order,17,4,1,"
I'm afraid I can't allow that.
Pursuant to Starfleet General Order 104, Section A: You are deemed unfit
and I hereby relieve you of your command.",Give me one good reason why not. - Because this is not Star Trek!,"넌 말할 자격이 없어
그렇게는 못하겠어
스타플릿 기본 수칙 104의 A조항에 따르면
넌 부적합하다고 판단되기 때문에 명령할 권리를 없애겠어",왜 안 되는지 이유 하나만 들어봐 - 스타 트렉이 아니니깐!,v. 주문하다 n. 주문,F
48,28260,order,95,"Okay, question 1. Rank the following aspects of Sheldon Cooper in order of appeal.",BB213,341718,346704,okay question rank following aspects of sheldon cooper in order of appeal,./bigbang,F,5,order,18,4,4,"Yes. Well, that is a good question.
But is this really the best way to figure it out?
Yeah, I agree. The social sciences are largely hokum.
But, short of putting electrodes in your brain and monitoring your response to my companionship, this is the best I can do.","Intelligence.
Ruthless attention to hygiene.
Playfulness.
Java applet writing?","그래. 음, 그런 거 괜찮지.
근데 꼭 이런 게 가장 좋다고 생각해?
응. 그래.사회 과학은 대부분 엉터리거든.
하지만, 니 뇌에 전극을 꽂고 우리 사이에 관한 반응을 관찰하는 걸 제외한다면, 이게 가장 좋은 방법인거 같아.","지성.
위생에 관한 지독한 관심
쾌활함.
자바 애플릿 프로그래밍?",v. 주문하다 n. 주문,F
50,16461,suppose,211,Now shall we get back to work? - I suppose.,BB206,795320,798721,now shall we get back to work i suppose,./bigbang,F,6,suppose,10,5,2,"He does on Wednesdays.
Not if he wants a Nobel Prize.
He does want that.
Does a man with my intellectual gifts play paintball on weekends?
What do you think? - Drat.","Battlestar Galactica comes on tonight.
I guess I can wait for the DVD.","수요일에는 해
노벨상이 받기 싫다면 하겠죠
상은 받고 싶어 해
나와 같은 두뇌를 가진 사람은 주말에 핀볼은 하나?
어떨 것 같으세요? - 쳇!","배틀스타 갈라티카 오늘 밤에 방송하는데
DVD 나올 때까지 기다리지 뭐","v. 가정하다, ~라고 생각하다",F
51,20174,suppose,159,I suppose I could spare a few minutes.,BB209,613186,615482,i suppose i could spare few minutes,./bigbang,F,6,suppose,11,5,2,"This is banana bread.
This is a door knob.
It's my understanding that an unsolicited gift of food
can be a precursor to  an impromptu invitation to come in and chat.
Would you like to come in?","Were you robbed?
No.","바나나 파운드 케이크예요
이건 손잡이에요
생각지 못한 선물이나 음식을 받으면
들어오라고 말하는 걸로 알고 있는데요
들어올래요?","도둑 들었어요?
아뇨","v. 가정하다, ~라고 생각하다",F
52,28151,suppose,76,I suppose.,BB213,289430,290287,i suppose,./bigbang,F,6,suppose,12,7,4,"You'd be surprised how many particle physicists have a whimsical side.
Oh what about Howard and Raj you mean? How did you become friends with them?
I don't know...
How do carbon atoms form a benzene ring?
Proximity and valence electrons.
Well yeah, sure. When you put it that way.
But it all worked out, right?","I do miss whistling though.
Oh come on. Really?
(Whistles)
1st warning.","넌 많은 입자 물리학자들이 변덕스러운 면이 있다는 사실에 놀랄거야
Howard랑 Raj는 어때?걔네들이랑은 어떻게 친해졌는데?
잘 모르겠어..
탄소 원자들이 어떻게 벤젠 공명 구조를 이룰까?
근접과 원자가 전자 때문이지.
어 그래, 맞을거야, 니가 그렇다고 하면 말이지.
그래도 잘 됐잖아, 그렇지?","그래도 휘파람 부는 게 그리워.
말도 안돼, 진짜?
(휘파람 분다)
첫번째 경고야.","v. 가정하다, ~라고 생각하다",F
53,47326,suppose,203,I suppose it wouldn't hurt to get an estimate.,BB221,735153,737856,i suppose wouldn't hurt to get estimate,./bigbang,F,6,suppose,13,3,1,"We're not gonna get Wolowitz a hooker.
""I'm so lonely and horny,
""I may open this $20 jar of peanuts and end it all.""",So how was your day?,"왈로위츠한테 창녀를 소개해 줄 수는 없어
""너무나도 외롭고 궁하다
""20달러짜리 땅콩이나 다 먹어버려야겠다""",오늘 어떻게 지냈어?,"v. 가정하다, ~라고 생각하다",F
54,47992,suppose,321,I suppose we can stay up and talk.,BB221,1172843,1174796,i suppose we can stay up and talk,./bigbang,F,6,suppose,14,4,3,"Sing  Soft Kitty .
That's only for when you're sick.
Homesick is a type of being sick.
Come on, do I really have to?","Soft kitty
Warm kitty
Little ball of fur","Soft Kitty  불러줘
그건 니가 아플 때만 하는거잖아
향수병도 일종의 병이야
정말로 해야 돼?","Soft kitty
Warm kitty
Little ball of fur","v. 가정하다, ~라고 생각하다",F
55,71155,suppose,195,"And I suppose my boots and spurs are ridiculous, too?",BB510,594581,598849,and i suppose my boots and spurs are ridiculous too,./bigbang,F,6,suppose,15,8,2,"Flaming Spittoon.
And for the record,
I'm very disappointed in you cowpokes.
We're playing our inaugural round
and I'm the only one who bothered
Patooie.
We're not wearing cowboy hats, Sheldon.
It looks ridiculous.","Yeah. - Very. - Incredibly so.
Did it look ridiculous when we got the Satanimals pack","불타는 침통
참고로
너네는 카우보이로서 자세가 안 돼 있어
'와일드 웨스트와 마녀'를 처음으로 하는데
나만 제대로 차려 입었잖아
퉤
우리는 카우보이 모자  안 쓸 거야
바보 같아 보여","응 - 좀 많이 그래
사탄의 동물 팩을 사고 마왕 고양이 분장을 한 건?","v. 가정하다, ~라고 생각하다",F
56,89803,suppose,11,I'm suppose to ask you if you're bringing someone to the wedding.,BB520,26624,29541,i'm suppose to ask you if you're bringing someone to wedding,./bigbang,F,6,suppose,16,9,4,"best things in life are free.
Okay, you're right. I eat your food a lot.
Now, how about this?
You can raid my fridge anytime you want.
Oh, that's very kind of you.
Next time I have a hankering to wash down a D-cell battery
with a jar of old pickle juice,
(clicks tongue) I'll come a-knockin'.
Hey, Raj, you didn't send your RSVP in.","I'll let you know.
Well, can you make it soon?
There's a battle royale going on over the seating charts.
In one corner, Bernadette's mom, in the other three, mine.","인생에서 소중한  것들은 공짜라고
그래, 내가 좀 많이 뺏어먹긴 하네
이러면 어떨까?
우리 집 냉장고를 맘껏 쓰도록 해
엄청난 배려군
D셀 배터리 전해질로
오래 묵은 피클 주스가 필요할 때
한번 들리지 뭐
라지, 답변은 언제 받을 수 있을까","다음에 알려줄게
최대한 빨리  알려줄 수 있어?
자리 배치 문제로 양쪽에서 싸우고 있어
한쪽 코너는 장모님, 나머지 셋은 엄마가 차지했어","v. 가정하다, ~라고 생각하다",F
57,92078,suppose,13,I suppose that could be considered offensive.,BB521,40744,45414,i suppose that could be considered offensive,./bigbang,F,6,suppose,17,6,4,"and he's looking for an engineer to help maintain
That's amazing.
You'll be like his pit crew.
A word of caution: I would not do
your Stephen Hawking impression in front of him.
(in Stephen Hawking's voice): You're right.","Boy, Sheldon's going to freak out.
Yeah, he worships Hawking.
I was actually thinking about bringing him along
when I go over there so he can meet the great man.","휠체어 장비를 관리할  엔지니어가 필요하대
좋겠다
피트크루가 되는거네
경고하자면
스티븐 호킹 앞에서  성대모사는 자제해줘
맞아","쉘든이 식겁하겠다
호킹을 거의 숭배하잖아
쉘든도 같이  데리고 갈 생각이야
직접 만나게 해주고 싶어","v. 가정하다, ~라고 생각하다",F
58,10034,supposed,185,"Well, what am I supposed to do? - I don't know,",BB203,747891,750476,well what am i supposed to do i don't know,./bigbang,F,6,suppose,18,6,3,"If you'd simply restrained yourself, none of this would be happening.
Just tell her to leave you alone. - I did, I told her,
I texted her, I sent out a very emphatic twitter.
I even changed my Facebook status to

I don't know what else to do.","but if you don't figure something out, I warn you,
I shall become very difficult to live with.
You mean up until now we've been experiencing","네가 너를 단속했더라면 이런 일은 일어나지 않았을 거야
그냥 연락하지 말라고 말해 - 당연히 했지
말도 하고, 문자도 보내고 트위터에도 강조해서 써놨어
페이스북에는 어떻게 써놨냐면
""쉘든 쿠퍼는 페니가 연락하지 않기를 바랍니다""라고 해놨어
더는 어떻게 해야 할지 모르겠어","그렇지만 어떻게든 하지 않으면, 경고하건대
같이 살기 정말 힘들어질 거야
그럼 지금까지는 즐겁고 행복한 쉘든이었단 말이야?","v. 가정하다, ~라고 생각하다",F
59,10263,supposed,224,She comes into my room. No one's supposed to be in my room.,BB203,900341,903476,she comes into my room no one's supposed to be in my room,./bigbang,F,6,suppose,19,5,2,"Afternoon, men.

Your attempt at juvenilizing me
I'm too tired to do this.
I heard you've been pulling all-nighters with Middle Earth Barbie.","I would postulate that she's escaping into the online world
I do that, too.","안녕, 친구들
쉘든
성인 남성에서 날 제외해서 유치한 듯 만들려는 네 의도는
너무 피곤해서 말도 안 나와
바비 인형이랑 밤샌다는 이야기는 들었어","성적 불만에 대한 보상을 위해 온라인으로 도피했다고 생각해
나도 그래","v. 가정하다, ~라고 생각하다",F
